hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0005,B02510,2021-01-01 00:42:23,2021-01-01 01:01:28,4,49,
HV0005,B02510,2021-01-01 00:42:26,2021-01-01 01:11:38,71,77,
HV0003,B02512,2021-01-01 00:05:32,2021-01-01 00:17:36,35,72,
HV0003,B02764,2021-01-01 00:46:23,2021-01-01 00:52:15,113,148,
HV0003,B02764,2021-01-01 00:59:10,2021-01-01 01:08:09,211,66,
HV0003,B02876,2021-01-01 00:13:51,2021-01-01 00:20:26,17,61,
HV0003,B02876,2021-01-01 00:36:01,2021-01-01 00:56:18,256,13,
HV0003,B02872,2021-01-01 00:17:32,2021-01-01 00:33:42,90,87,
HV0003,B02872,2021-01-01 00:47:50,2021-01-01 01:03:45,231,141,
HV0005,B02510,2021-01-01 00:15:03,2021-01-01 00:41:05,48,97,
HV0005,B02510,2021-01-01 00:47:09,2021-01-01 01:05:40,97,231,
HV0005,B02510,2021-01-01 00:09:53,2021-01-01 00:49:57,61,117,
HV0005,B02510,2021-01-01 00:52:59,2021-01-01 01:27:18,117,76,
